Profile 1 FLIR AX5

,Li1
Emissivity,1
Distance,0
Reflected temperature,22
Start point X,206
Start point Y,193
End point X,212
End point Y,40

Index,Li1
1,273.14
2,273.47
3,273.64
4,281.26
5,292.25
6,293.8
7,291.51
8,286.14
9,281.26
10,279.79
11,279.62
12,278.86
13,277.66
14,276.34
15,275.68
16,274.69
17,274.58
18,273.69
19,272.81
20,271.37
21,270.2
22,269.87
23,267.52
24,267.02
25,266.4
26,266.29
27,266.68
28,266.07
29,265.9
30,264.49
31,264.38
32,263.31
33,263.2
34,262.8
35,262.29
36,261.16
37,259.12
38,257.29
39,254.83
40,248.76
41,239.64
42,230.13
43,223.07
44,217.52
45,212.45
46,208.22
47,204.46
48,201.32
49,197.68
50,194.41
51,190.69
52,187.55
53,184.94
54,181.53
55,178.79
56,175.45
57,173.66
58,169.97
59,167.63
60,165.05
61,162.45
62,159.67
63,156.86
64,154.25
65,151.53
66,148.47
67,145.21
68,140.94
69,135.66
70,129.5
71,126.74
72,125.43
73,125.69
74,124.47
75,124.65
76,124.21
77,124.03
78,124.03
79,123.94
80,123.68
81,123.59
82,123.24
83,123.33
84,122.89
85,122.89
86,122.8
87,122.44
88,121.91
89,121.82
90,121.64
91,120.93
92,119.95
93,120.22
94,120.84
95,121.47
96,121.38
97,121.82
98,121.47
99,121.38
100,121.38
101,121.11
102,120.4
103,120.75
104,120.58
105,120.66
106,120.58
107,120.22
108,120.04
109,119.77
110,119.68
111,120.04
112,120.75
113,120.04
114,120.31
115,119.77
116,119.86
117,119.68
118,119.14
119,118.78
120,117.42
121,115.05
122,111.53
123,110.78
124,112
125,113.2
126,113.02
127,112.09
128,110.78
129,110.31
130,109.27
131,107.94
132,107.08
133,104.58
134,102.92
135,100.56
136,96.54
137,90.55
138,84.67
139,81.14
140,78.78
141,77.42
142,76.5
143,75.35
144,74.65
145,73.83
146,73.6
147,73.37
148,73.01
149,72.19
150,71.83
151,71.95
152,71.36
153,71.24
154,71.12
