Profile 1 FLIR AX5

,Li1,Li2,Li3
Emissivity,1,1,1
Distance,0,0,0
Reflected temperature,22,22,22
Start point X,167,199,233
Start point Y,240,241,244
End point X,169,202,237
End point Y,170,115,7

Index,Li1,Li2,Li3
1,256.2,271.31,289.63
2,245.07,266.57,276.78
3,242.07,263.71,264.49
4,245.6,260.03,260.76
5,242.01,253.62,256.09
6,236.89,250.56,249.57
7,232.01,248.41,242.07
8,231.59,243.84,233.35
9,228.79,240.82,226.34
10,224.93,237.37,224.86
11,220.84,232.8,226.59
12,217.08,230.25,222.27
13,213.03,225.97,219.09
14,209.45,223.13,214.87
15,207,220.09,209.13
16,203.42,216.38,203.75
17,200.33,213.6,200.93
18,197.62,210.86,200.46
19,194.41,208.67,196.48
20,191.58,206.02,193.26
21,189.54,203.09,192.32
22,187.14,200.66,189.6
23,184.24,198.35,186.52
24,181.6,196.62,183.48
25,179.84,194.01,181.18
26,177.94,191.44,179.7
27,175.45,189.33,177.44
28,173.59,187.48,175.02
29,171.5,184.8,171.64
30,169.24,183.41,169.53
31,168.22,181.25,167.78
32,166.01,179.42,165.94
33,164.9,177.23,164.53
34,163.42,174.95,162.67
35,161.55,172.87,160.35
36,160.5,170.41,158.15
37,159.14,169.32,156.55
38,157.62,167.63,154.63
39,156.63,165.2,153.16
40,155.4,163.49,150.98
41,154.4,161.55,149.34
42,153.47,160.42,147.84
43,152.78,159.06,146.17
44,151.38,157.16,144.33
45,150.67,155.71,142.72
46,149.65,154.01,141.02
47,148.79,152.7,139.55
48,147.92,151.61,137.9
49,147.05,150.36,136.58
50,145.93,148.63,134.91
51,144.01,147.28,133.65
52,141.02,146.25,132.64
53,137.16,144.97,130.52
54,131.03,143.77,129.58
55,122.27,143.04,128.38
56,115.33,141.75,127.08
57,110.59,140.45,125.87
58,106.51,139.46,124.82
59,103.31,138.48,123.77
60,100.75,137.74,122.62
61,98.56,136.5,121.64
62,96.64,135.5,120.13
63,95.32,134.74,118.78
64,93.37,133.57,117.88
65,92.33,132.73,117.15
66,91.39,132.22,116.15
67,89.82,131.2,115.23
68,89.29,130.27,114.13
69,88.12,129.67,112.93
70,87.58,128.9,112.18
71,87.05,128.12,110.78
72,,127.08,109.65
73,,126.48,108.89
74,,125.96,107.66
75,,124.91,106.89
76,,124.12,106.22
77,,122.97,105.64
78,,122.53,104.67
79,,121.82,103.99
80,,121.82,103.21
81,,121.38,102.23
82,,121.38,101.45
83,,120.31,100.65
84,,120.13,100.16
85,,119.59,99.36
86,,119.14,98.36
87,,118.78,97.55
88,,117.97,97.25
89,,117.61,95.93
90,,117.42,95.42
91,,117.06,94.5
92,,116.79,93.57
93,,116.33,93.37
94,,116.42,92.33
95,,115.87,91.81
96,,115.6,91.29
97,,115.33,90.87
98,,114.68,90.24
99,,114.5,89.29
100,,114.87,88.76
101,,113.76,88.22
102,,113.67,87.69
103,,113.11,87.15
104,,112.65,86.29
105,,112.37,85.54
106,,111.15,85.21
107,,109.74,84.34
108,,107.18,83.79
109,,104.09,83.35
110,,100.95,83.02
111,,98.86,82.14
112,,96.85,81.36
113,,95.52,80.92
114,,94.6,81.03
115,,93.57,79.68
116,,92.43,79.68
117,,91.81,78.21
118,,91.18,78.67
119,,90.76,78.21
120,,90.76,77.3
121,,90.34,76.85
122,,89.71,76.5
123,,89.92,75.93
124,,89.29,75.81
125,,88.97,75.23
126,,88.65,74.53
127,,88.01,73.72
128,,,73.95
129,,,73.25
130,,,73.13
131,,,72.42
132,,,71.95
133,,,71.71
134,,,71.36
135,,,70.28
136,,,70.4
137,,,70.4
138,,,69.68
139,,,69.44
140,,,69.2
141,,,68.47
142,,,68.72
143,,,68.23
144,,,67.74
145,,,67.74
146,,,67.5
147,,,67.01
148,,,66.52
149,,,66.15
150,,,65.9
151,,,65.53
152,,,65.4
153,,,65.65
154,,,65.03
155,,,64.16
156,,,64.78
157,,,64.41
158,,,63.65
159,,,63.78
160,,,63.28
161,,,63.02
162,,,63.15
163,,,62.77
164,,,62.77
165,,,62.26
166,,,61.88
167,,,61.76
168,,,61.63
169,,,62.01
170,,,62.01
171,,,61.63
172,,,61.5
173,,,61.37
174,,,61.12
175,,,60.47
176,,,60.47
177,,,60.35
178,,,60.09
179,,,60.09
180,,,60.35
181,,,59.83
182,,,59.44
183,,,59.57
184,,,59.31
185,,,59.31
186,,,59.18
187,,,58.53
188,,,58.92
189,,,58.79
190,,,58.27
191,,,58.66
192,,,58.92
193,,,58.14
194,,,58.4
195,,,58.53
196,,,58.53
197,,,57.87
198,,,57.87
199,,,57.87
200,,,57.35
201,,,56.69
202,,,56.69
203,,,57.08
204,,,56.95
205,,,57.48
206,,,57.48
207,,,57.35
208,,,57.61
209,,,57.74
210,,,57.87
211,,,57.35
212,,,57.22
213,,,56.29
214,,,56.29
215,,,56.16
216,,,56.55
217,,,56.29
218,,,56.55
219,,,55.36
220,,,55.89
221,,,55.76
222,,,54.95
223,,,55.62
224,,,55.49
225,,,54.95
226,,,54.14
227,,,53.19
228,,,52.51
229,,,51.69
230,,,50.72
231,,,50.44
232,,,49.74
233,,,49.18
234,,,48.9
235,,,48.47
236,,,48.9
237,,,48.62
238,,,48.05
