SG1 [mV]	SG2 [mV]	SG3 [mV]	Load [N]	Position [mm]
-0.670829	-62.441254	-0.933805	-0.230239	-0.121737
-0.759534	-62.441254	-0.827686	486.631726	-0.336544
-0.840580	-62.441254	-0.712673	989.498366	-0.568089
-0.908819	-62.441254	-0.597516	1501.168281	-0.764298
-0.991311	-62.441254	-0.498901	1989.833370	-0.880535
-1.091282	-62.441254	-0.401333	2480.814944	-0.980965
-1.152860	-62.441254	-0.303537	2993.994981	-1.060936
-1.195021	-62.441254	-0.202572	3495.304124	-1.145557
-1.241217	-62.441254	-0.101949	4007.474930	-1.221809
-1.291342	-62.441254	-0.006761	4494.324666	-1.296201
-1.359643	-62.441254	0.098742	5005.437164	-1.376172
-1.394199	-62.441254	0.181416	5494.746729	-1.421737
-1.473978	-62.441254	0.274213	5980.471832	-1.498919
-1.551090	-62.441254	0.375734	6495.188309	-1.566801
-1.599962	-62.441254	0.469663	6983.788611	-1.627245
-1.671724	-62.441254	0.570283	7489.520569	-1.696987
