SG1 [mV]	SG2 [mV]	SG3 [mV]	Load [N]	Position [mm]
62.439616	-23.209596	-21.013379	0.655652	0.000000
62.439616	-22.894491	-20.697091	1051.614978	-0.313376
62.439616	-22.595964	-20.419823	2007.324437	-0.515165
62.439616	-22.296213	-20.128813	3015.729158	-0.686266
62.439616	-21.998741	-19.839136	4065.881391	-0.834120
62.439616	-21.748192	-19.597297	4923.600869	-0.956867
62.439616	-21.441358	-19.304930	6007.333796	-1.091703
62.439616	-21.147344	-19.024658	7043.371374	-1.220029
62.439616	-20.882554	-18.777125	7983.518336	-1.327897
62.439616	-20.592910	-18.482750	8995.063723	-1.448784
62.439616	-20.411621	-18.196194	10029.243837	-1.539914
62.439616	-20.027612	-17.959332	10990.996777	-1.670100
62.439616	-19.742005	-17.704785	12010.021259	-1.781688
62.439616	-19.450052	-17.418352	13020.902410	-1.893276
62.439616	-19.184917	-17.171629	13943.339808	-1.998355
62.439616	-18.886523	-16.869569	14949.938085	-2.103434
62.439616	-18.552151	-16.527472	15954.235912	-2.216882
62.439616	-18.101066	-16.073219	17035.462526	-2.336839
62.439616	-17.391878	-15.418650	17983.439732	-2.469814
62.439616	-16.068560	-14.583515	18306.739974	-2.579543
62.439616	-13.818985	-13.837913	18440.924997	-2.681832
62.439616	-13.275325	-12.944143	18617.207305	-2.777611
62.439616	-11.147160	-12.631685	18694.061020	-2.881760
62.439616	-5.725942	-12.318667	18713.083750	-2.976610
62.439616	-5.091377	-8.598361	18881.804358	-3.081689
62.439616	-4.673633	-8.317031	18922.479066	-3.180258
62.439616	-4.455296	-8.176835	19048.132113	-3.281617
62.439616	-0.093344	-8.054508	18963.723987	-3.380186
62.439616	2.387917	-7.977368	18978.719350	-3.476896
62.439616	4.190000	-6.260848	19078.375024	-3.580115
62.439616	5.648588	-0.437049	19245.275422	-3.683334
62.439616	6.633611	-0.049175	19187.199377	-3.780973
62.439616	7.358875	0.154187	19189.103489	-3.880473
62.439616	9.099662	0.351083	19215.270605	-3.977182
62.439616	16.978318	0.592696	19310.856476	-4.079471
62.439616	17.965020	0.824762	19357.680997	-4.184550
62.439616	18.694206	1.126172	19428.480217	-4.280330
62.439616	19.092398	8.446924	19418.137099	-4.377969
62.439616	19.806523	11.838716	19558.137065	-4.585337
62.439616	20.365078	12.321662	19646.756716	-4.680187
62.439616	23.073740	12.636714	19644.578067	-4.778756
62.439616	33.959242	12.807877	19565.523999	-4.880115
62.439616	35.131028	12.956651	19536.110695	-4.978685
62.439616	35.806684	13.120672	19635.116305	-5.080044
62.439616	36.220945	13.344308	19842.871358	-5.179543
62.439616	36.533583	22.210772	19761.888398	-5.279042
62.439616	37.438459	34.544323	19881.461845	-5.478971
62.439616	37.946236	34.918774	19837.990413	-5.580330
62.439616	38.189193	35.032685	19760.739387	-5.680759
62.439616	38.434702	35.221289	19829.599187	-5.780258
62.439616	39.201240	35.264387	19815.519194	-5.879758
62.439616	39.338186	35.275933	19819.144391	-5.978327
62.439616	39.479056	35.287810	19864.729604	-6.079686
62.439616	39.626386	35.300232	20027.938720	-6.185695
62.439616	39.760797	35.311564	19803.224670	-6.282404
62.439616	39.896480	35.323005	20059.272657	-6.380044
62.439616	40.037341	35.334883	19890.952842	-6.481403
62.439616	40.230372	35.431956	20001.990425	-6.579042
62.439616	40.370095	37.337724	19969.899686	-6.685981
62.439616	40.528278	41.140049	20009.051559	-6.780831
62.439616	40.677017	43.292552	20035.243294	-6.885910
62.439616	40.743536	44.396289	19906.328833	-6.984479
62.439616	40.880458	45.145139	20032.556223	-7.080259
62.439616	40.945938	45.522001	19979.888658	-7.180688
62.439616	40.983379	45.706534	19894.713527	-7.288556
62.439616	41.052851	45.844325	19903.825921	-7.380616
62.439616	41.092763	45.918105	19916.137209	-7.480116
62.439616	41.085265	45.919436	19759.980804	-7.585194
62.439616	41.072648	45.901118	19639.982916	-7.680974
62.439616	41.077483	45.890128	19568.962284	-7.776754
62.439616	41.039409	45.831640	19408.196394	-7.885552
62.439616	41.008968	45.779433	19274.800404	-7.984121
62.439616	40.961502	45.717088	19101.660382	-8.078971
62.439616	40.878387	45.588129	18901.118552	-8.291918
62.439616	40.836224	45.531752	18773.882093	-8.383049
62.439616	40.760259	45.441415	18444.010351	-8.477898
62.439616	40.694221	45.349940	18284.806817	-8.585767
62.439616	40.606185	45.257681	17961.029495	-8.677827
62.439616	40.499732	45.131415	17639.638142	-8.781046
62.439616	40.420731	45.037080	17424.602811	-8.877755
62.439616	40.319709	44.925529	17097.488840	-8.981904
62.439616	40.190051	44.784853	16703.451898	-9.076754
62.439616	40.174342	44.771114	16677.651804	-9.076754
62.439616	40.030608	44.622647	16204.692233	-9.179043
62.439616	39.862207	44.455123	15715.430611	-9.281332
