SG1 [mV]	SG2 [mV]	SG3 [mV]	Load [N]	Position [mm]
62.439616	-62.441254	-62.491316	-0.454648	0.000000
62.439616	-62.441254	-62.491316	971.793418	-0.496567
62.439616	-62.441254	-62.491316	1969.234112	-0.691846
62.439616	-62.441254	-62.491316	3029.183059	-0.860157
62.439616	-62.441254	-62.491316	3988.702361	-0.991273
62.439616	-62.441254	-62.491316	5047.625233	-1.114950
62.439616	-62.441254	-62.491316	6039.790343	-1.221889
62.439616	-62.441254	-62.491316	7083.155251	-1.321388
62.439616	-62.441254	-62.491316	7907.757266	-1.414378
62.439616	-62.441254	-62.491316	9041.779319	-1.520387
62.439616	-62.441254	-62.491316	10050.635611	-1.620816
62.439616	-62.441254	-62.491316	11002.769841	-1.711016
62.439616	-62.441254	-62.491316	12073.868027	-1.795637
62.439616	-62.441254	-62.491316	12987.835320	-1.890487
62.439616	-62.441254	-62.491316	14023.215141	-1.983477
62.439616	-62.441254	-62.491316	15020.907778	-2.067168
62.439616	-62.441254	-62.491316	15920.117074	-2.153648
62.439616	-62.441254	-62.491316	17148.098908	-2.256867
62.439616	-62.441254	-62.491316	18329.642679	-2.355437
62.439616	-62.441254	-62.491316	19345.689032	-2.451216
62.439616	-62.441254	-62.491316	20343.266022	-2.541417
62.439616	-62.441254	-62.491316	21634.454521	-2.651145
62.439616	-62.441254	-62.491316	22786.513235	-2.750644
62.439616	-62.441254	-62.491316	23926.217010	-2.852933
62.439616	-62.441254	-62.491316	25016.143726	-2.953362
62.439616	-62.441254	-62.491316	26051.212322	-3.053792
62.439616	-62.441254	-62.491316	27101.389255	-3.152361
62.439616	-62.441254	-62.491316	28113.603576	-3.252790
62.439616	-62.441254	-62.491316	29149.922494	-3.354149
62.439616	-62.441254	-62.491316	30188.202943	-3.452719
62.439616	-62.441254	-62.491316	31031.747351	-3.552218
62.439616	-62.441254	-62.491316	31893.670419	-3.653577
62.439616	-62.441254	-62.491316	33004.680924	-3.754006
62.439616	-62.441254	-62.491316	33790.265987	-3.852576
62.439616	-62.441254	-62.491316	34634.942156	-3.954865
62.439616	-62.441254	-62.491316	32919.216677	-4.052504
62.439616	-62.441254	-62.491316	32974.974616	-4.153863
