#	time(s)	count A	count B	count C	count D
1	0.0100	4	7		
2	0.0200	4	7		
3	0.0300	4	7		
4	0.0400	4	7		
5	0.0500	4	6		
6	0.0600	4	6		
7	0.0700	4	6		
8	0.0800	4	6		
9	0.0900	4	6		
10	0.1000	4	6		
11	0.1100	4	6		
12	0.1200	4	6		
13	0.1300	4	6		
14	0.1400	4	6		
15	0.1500	4	6		
16	0.1600	4	5		
17	0.1700	4	5		
18	0.1800	4	5		
19	0.1900	4	5		
20	0.2000	4	5		
21	0.2100	4	5		
22	0.2200	4	5		
23	0.2300	4	5		
24	0.2400	4	5		
25	0.2500	4	5		
26	0.2600	4	5		
27	0.2700	4	5		
28	0.2800	4	5		
29	0.2900	4	5		
30	0.3000	4	5		
31	0.3100	4	5		
32	0.3200	4	5		
33	0.3300	4	5		
34	0.3400	4	5		
35	0.3500	4	5		
36	0.3600	4	5		
37	0.3700	4	5		
38	0.3800	4	5		
39	0.3900	4	5		
40	0.4000	3	5		
41	0.4100	3	6		
42	0.4200	3	6		
43	0.4300	3	6		
44	0.4400	3	6		
45	0.4500	2	6		
46	0.4600	2	6		
47	0.4700	2	6		
48	0.4800	2	6		
49	0.4900	2	6		
50	0.5000	2	6		
51	0.5100	1	6		
52	0.5200	1	6		
53	0.5300	1	6		
54	0.5400	1	6		
55	0.5500	1	6		
56	0.5600	0	6		
57	0.5700	0	6		
58	0.5800	0	6		
59	0.5900	0	6		
60	0.6000	0	6		
61	0.6100	0	6		
62	0.6200	0	6		
63	0.6300	0	6		
64	0.6400	0	6		
65	0.6500	-1	6		
66	0.6600	-1	6		
67	0.6700	-1	6		
68	0.6800	-1	5		
69	0.6900	-1	5		
70	0.7000	-1	5		
71	0.7100	-1	5		
72	0.7200	-1	5		
73	0.7300	-1	4		
74	0.7400	-1	4		
75	0.7500	-1	4		
76	0.7600	-1	4		
77	0.7700	-1	4		
78	0.7800	-1	4		
79	0.7900	-1	3		
80	0.8000	0	3		
81	0.8100	0	3		
82	0.8200	0	3		
83	0.8300	0	2		
84	0.8400	0	2		
85	0.8500	0	2		
86	0.8600	0	2		
87	0.8700	1	2		
88	0.8800	1	2		
89	0.8900	2	2		
90	0.9000	2	1		
91	0.9100	3	1		
92	0.9200	3	1		
93	0.9300	4	1		
94	0.9400	4	1		
95	0.9500	4	1		
96	0.9600	4	1		
97	0.9700	4	1		
98	0.9800	4	1		
